QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement
11,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from pri_sugg where metric_group_type = 'External' 
and UPPER(split(guid,'_')[8]) = 'SUMMARY' 
and timeliness_score!=1000",NA,NA,"BR :  Timeliness score for Summary Insights is Incorrect||Error resolution tip : Check ""timeliness_score"" column of pri_sugg file for Summary insights"
12,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from pri_sugg where metric_group_type = 'External' 
and UPPER(split(guid,'_')[6]) = 'PORTFOLIO' 
and timeliness_score!=2000",NA,NA,"BR :  Timeliness score for Portfolio Insights is Incorrect||Error resolution tip : Check ""timeliness_score"" column of pri_sugg file for Portfolio insights"
13,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from 
(
select m.customer_id,m1.config_value,
concat(m.product_id,'_',m.indication_id) as product_id,
(100-cast(brand_additional_insight_order as int)) as order_1 
from pi_model_input_file m inner join
m_verso_cnfg m1 on m1.config_type = m.resp_code
inner join external_suggestion e 
on e.customer_id = m.customer_id 
and e.product_id = concat(m.product_id,'_',indication_id)
and e.salesforce_id = m1.config_value
where upper(insight_type) = 'ADDITIONAL'
and m1.PARAMETER_TYPE = 'RESP CODE MAPPING'
and m.insight_text not in ('', 'NA', 'N/A') AND m.insight_text is not null
and nvl(m.suggestion_text,'A') NOT in('', 'NA', 'N/A')
and m.suggestion_text IS NULL
except 
select entities.`values`['customer'].id as hcp,salesforce_id,
entities.`values`['product'].id as product,
timeliness_score from pri_sugg 
where UPPER(split(guid,'_')[8])='ADDITIONAL' and metric_group_type='External'
)a where 'current_date' = 'PO_START_DATE'",NA,NA,"BR :  Timeliness score for Additional Insights is Incorrect||Error resolution tip : Check ""timeliness_score"" column of pri_sugg file for Additional insights"
14,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from (select guid,count(1) from pri_sugg where metric_group_type = 'External'
group by guid having count(1) > 1) a",NA,NA,BR :  Duplicates are present at external suggestion level||Error resolution tip : Check pri sugg file .Duplicates shoul not be present at this level.
15,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(1) from pri_sugg where 'current_date' = 'PO_START_DATE' and split(metric_group_sk,'_')[8] in ('ADDITIONAL', 'SUMMARY','URGENT') and
entities.`values`['customer'].id not in 
(select distinct entities.`values`['customer'].id from pri_sugg 
where split(metric_group_sk,'_')[6] like 'PORTFOLIO')",NA,NA,BR : HCPs with PI insights do not have Portfolio insights||Error resolution tip : Check for HCPs in Pri_Sugg file who don't have PO recommendation but have PI insights
16,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"SELECT  DISTINCT 
        CASE 
            WHEN (x.Col1 LIKE '%[0-9]%.%[0-9]%' 
            AND x.Col1 NOT LIKE '%[^0-9.]%')
            THEN 1 ELSE 0 
        END  AS IsDecimal
FROM (
   select insights.insight_text[0] as col1 from pri_sugg where metric_group_type != 'External'
) x",NA,NA,BR : BR suggestions contain decimal numbers in the insight text||Error resolution tip : Check insight_text in Pri_sugg file for decimal numbers.
17,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select sugg_key,m.salesforce_id,count(*) from pri_sugg p left join sugg_map m 
on m.metric_sk = p.metric_group_sk
and m.salesforce_id = p.salesforce_id where metric_group_type = 'BusinessRule'
group by sugg_key,m.salesforce_id",NA,NA,Not Applicable
18,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select case when cnt=0 then 1 
        else 0 
        end as br_sugg from (
        select count(*) as cnt from pri_sugg where metric_group_type = 'BusinessRule')a",NA,NA,BR : BR suggestions are not present||Error resolution tip : Check Pri_sugg file for presence of BR insights.
19,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select case when cnt=0 then 1 
else 0 end as ext_sugg 
from 
(select count(*) as cnt from pri_sugg where metric_group_type = 'External' 
)a",NA,NA,BR : External suggestions are not present||Error resolution tip : Check Pri_sugg file for presence of External Insights.
20,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Inactive,NA,NA,NA,prerequisite condition,"select count(*) from pri_sugg 
where metric_group_type='External' and (insights.insight_text[0] like '%N/A%' or action_text like '%N/A%' or insights.insight_text[0] is null or action_text is null or insights.insight_text[0] like '%\n%' or action_text like '%\n%')",NA,NA,BR : PI insights contain invalid insight/action text||Error resolution tip : PI insights in Pri_Sugg file have invalid insight/action text.
21,Post,US_BR,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from(
select value1 from
(select distinct 
cast(concat(v2.config_value,'_',v.config_value,'_',m.attribute_value1) as string) as value1
from (select * from m_prod_xref where BUSINESS_UNIT in ('BMBU_IMM','LDO','OBU') 
and source_name='TEAM_RESP_CD' and active ='Y') m 
inner join 
(
select 
salesforce_id,sleeve_name,business_unit_id,trim(brand_id) as brand_id
from

(

select salesforce_id,sleeve_name,business_unit_id,trim(brand_id) as brand_id from
(
select salesforce_id,sleeve_name,business_unit_id,
split(brand_id,';') AS brnd_id from team_resp_code
)t
LATERAL VIEW explode(brnd_id) id AS brand_id
)t1
where t1.brand_id not in('US_708121')

)t2 on concat(t2.salesforce_id,'_',t2.brand_id) = m.source_product_name and source_name='TEAM_RESP_CD' 
inner join m_verso_cnfg v on v.config_type = t2.salesforce_id and v.PARAMETER_TYPE = 'RESP CODE MAPPING'
inner join m_verso_cnfg v2 on v2.config_type = t2.business_unit_id and v2.parameter_type='BU MAPPING'
and v2.attribute_value2=t2.salesforce_id
)t3

except

select concat(business_unit_id,'_',salesforce_id,'_',product_id) as value2 from rep_alignment
)a",NA,NA,"BR : BU-SF-product mapping is incorrect in alignment file||Error resolution tip : Check for the metadata files M_PROD_XREF, M_VERSO_CONFIG or code level changes in Rep_Alignment code"
22,Post,US_BR,data/context_key=US_CONTEXT/source=customer/,hcp_master,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from(
select count(*),customer_id from hcp_master group by customer_id having count(*)>1)a
",NA,NA,BR : Customer File is not unique on customer_id||Error resolution tip : Check if there are duplicate entries in HCP_MASTER at Customer_Id level
23,Post,US_BR,data/context_key=US_CONTEXT/source=entities_attributes/,entity_attributes,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from (
select count(*),customer_id, product_id from entity_attributes group by customer_id, product_id having count(*)>1) a",NA,NA,"BR : Entity and Attributes File not unique on customer_id and product_id||Error resolution tip : Check for duplicate entries on Customer_id, Product_id level in Entity_attributes file."
24,Post,US_BR,data/context_key=US_CONTEXT/source=product/,product,|,parquet,product_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(
select count(*),product_id from product group by product_id having count (*)>1) a",NA,NA,BR : Product File is not unqiue on product_id||Error resolution tip : Check for duplicate entries on Product_id level in Product file.
25,Post,US_BR,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(
select count(*),customer_id, product_id, salesforce_id, rep_id,sugg_posted_date, business_unit_id from rep_alignment
where rep_id is not null
group by customer_id, product_id, salesforce_id, rep_id,sugg_posted_date, business_unit_id having count (*)>1) a",NA,NA,BR : Rep Alignment FIle is not unique on customer_id-product_id-rep_id-business_unit_id||Error resolution tip : Check for duplicate entries on customer_id-product_id-rep_id-business_unit_id level.
26,Post,US_BR,data/context_key=US_CONTEXT/source=rep_based_metrics/,pp,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(
select count(*),customer_id,product_id, rep_id from pp group by customer_id,product_id, rep_id having count (*)>1) a
",NA,NA,"BR : Rep based mterics File is not unique on customer_id : product_id : rep_id||Error resolution tip : Check Rep_based_metrics (PP metrics) file has duplicates at customer_id,Product_id and rep_id level."
27,Post,US_BR,data/context_key=US_CONTEXT/source=time_based_metrics/,npp,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(
select count(*),customer_id,product_id, start_time, end_time, time_grain from src
group by customer_id,product_id, start_time, end_time, time_grain having count (*)>1) a",NA,NA,"BR : Time based metrics File is not unique on customer_id : product_id : start_time : end_time||Error resolution tip : Check Time based metrics (NPP metrics) file for duplicates at customer_id, Product_Id, start_time, end_time."
28,Post,US_BR,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03 /data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count (*) from(
(select distinct customer_id from rep_alignment)
except
select distinct customer_id from
(select a.customer_id from hcp_rep_terr a
inner join
(select customer_id, salesforce_code, product_id from sftu) b
on UPPER(a.customer_id) = UPPER(b.customer_id)
and UPPER(a.salesforce_id) = UPPER(b.salesforce_code)
)t1)t2
where 'current_date'='po_refresh_date'",NA,NA,BR : Rep alignment file does not contain all HCPs from SFTU and HCP_Terr files||Error resolution tip : Check Rep_Alignment for missing HCPs who are present in SFTU and HCP_Terr files
29,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Inactive,NA,NA,NA,prerequisite condition,"select count(*)
from pri_sugg p  
inner join m_verso_cnfg m on m.config_value = p.salesforce_id
inner join (
select customer_id,resp_code,insight_text,product_id,
case when suggestion_text IN ('', 'N/A', ' ') 
then 'Use this information as you plan your engagements with this HCP'
else suggestion_text end as suggestion_text from
pi_model_input_file
where upper(insight_type)='PORTFOLIO'
) p2 
on p.entities.`values`['customer'].id = p2.customer_id 
and p2.resp_code = m.config_type
and p.entities.`values`['product'].id = 'PORTFOLIO'
where p.metric_group_type = 'External'
and p.action_text != p2.suggestion_text
",NA,NA,BR : Action text is incorrect for Portfolio insights||Error resolution tip : Check action text of Portfolio Insights present in Pri_Sugg file.
30,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Inactive,NA,NA,NA,prerequisite condition,"select count(*)
from pri_sugg p  
inner join m_verso_cnfg m on m.config_value = p.salesforce_id
inner join  (
select customer_id,resp_code,insight_text,product_id,indication_id,
case when suggestion_text IN ('', 'N/A', ' ') 
then 'Use this information as you plan your engagements with this HCP'
else suggestion_text end as suggestion_text from
pi_model_input_file
where upper(insight_type)='SUMMARY'
) p2 
on p.entities.`values`['customer'].id = p2.customer_id 
and p2.resp_code = m.config_type
and concat(p2.product_id,'_',indication_id) = p.entities.`values`['product'].id
where split(p.guid,'_')[8]='SUMMARY'
and p.metric_group_type = 'External'
and p.action_text != p2.suggestion_text",NA,NA,BR : Action text is incorrect for Summary insights||Error resolution tip : Check Action text of Summary Insights present in Pri_Sugg file.
31,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select b.countf from (
select  a.f_count as countf,row_number()over(order by a.f_count desc) as rnk from 
(
select count(*) as f_count 
from pri_sugg p  
inner join m_verso_cnfg m on m.config_value = p.salesforce_id
inner join  (
select customer_id,resp_code,insight_text,product_id,
indication_id,suggestion_text,brand_additional_insight_order from
pi_model_input_file_po
where upper(insight_type)='ADDITIONAL'
) p2 
on p.entities.`values`['customer'].id = p2.customer_id 
and p2.resp_code = m.config_type
and concat(p2.product_id,'_',indication_id) = p.entities.`values`['product'].id
and cast(p.timeliness_score as double) = cast(100-p2.brand_additional_insight_order as double)
where split(p.guid,'_')[8]='ADDITIONAL'
and p.metric_group_type = 'External'
and p.action_text != p2.suggestion_text
and 'current_date'!='PO_START_DATE'
union all
select count(*) as f_count
from pri_sugg p  
inner join m_verso_cnfg m on m.config_value = p.salesforce_id
inner join  (
select customer_id,resp_code,insight_text,product_id,
indication_id,suggestion_text,brand_additional_insight_order from
pi_model_input_file
where upper(insight_type)='ADDITIONAL'
) p2 
on p.entities.`values`['customer'].id = p2.customer_id 
and p2.resp_code = m.config_type 
and concat(p2.product_id,'_',indication_id) = p.entities.`values`['product'].id
and cast(p.timeliness_score as double) = cast(100-p2.brand_additional_insight_order as double)
where split(p.guid,'_')[8]='ADDITIONAL'
and p.metric_group_type = 'External'
and p.action_text != p2.suggestion_text
and 'current_date'=='PO_START_DATE'
)a 
)b where b.rnk=1",NA,NA,BR : Action text is incorrect for Additional insights||Error resolution tip : Check Action text of Additional Insights present in Pri_Sugg file.
32,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from (
select distinct concat(customer_id,'_',product_id,'_',territory_sk) from rep_alignment
except
select distinct concat(customer_id,'_',product_id,'_',territory_sk) from po_alignment
) t 
where 'current_date' != 'PO_START_DATE'",NA,NA,"BR : Additional HCP-Terr combinations found in non-PO refresh alignment file||Error resolution tip : Check for unique combinations of customer, product and territory from the 'rep_alignment' file, excluding  customer, product and territory in 'po_alignment'."
33,Post,US_BR,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from (
select distinct concat(customer_id,'_',product_id,'_',territory_sk) from po_alignment
except
select distinct concat(customer_id,'_',product_id,'_',territory_sk) from rep_alignment
) t 
where 'current_date' != 'PO_START_DATE'",NA,NA,"BR : PO refresh HCP-Terr alignments are missing||Error resolution tip : Check for unique combinations of customer, product, and territory from the 'rep_alignment' table, excluding excluding  customer, product and territory in  in 'rep_alignment'."
34,Post,US_BR,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*)
from rep_alignment r right join 
(
select a.customer_id,nvl(h.rep_id,'repid') as rep_id,a.territory_sk 
from hcp_rep_terr h 
right join 
(
select distinct p.customer_id,p.territory_sk from po_alignment p 
inner join hcp_rep_terr h on h.customer_id = p.customer_id 
and h.rep_id = p.rep_id 
and h.territory_sk = p.territory_sk 
where h.rep_id is null
)a on h.customer_id = a.customer_id 
and h.territory_sk = a.territory_sk 
)b 
on r.customer_id = b.customer_id 
and nvl(r.rep_id,'repid') = b.rep_id 
and r.territory_sk = b.territory_sk 
where r.rep_id is null and 'current_date'!='PO_START_DATE'",NA,NA,"BR : HCP-Terr pair does not contain updated rep||Error resolution tip : Check in HCP_TERR file if the HCP's and Territories came in exception are true, if it is reach out to Source Team"
35,Post,US_BR,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03 /data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Count_Check,Daily,Inactive,NA,NA,NA,prerequisite condition,"select count(*) from(
select value1 from(
select distinct concat(customer_id,'_',rep_id,'_',attribute_value1,'_',config_value,'_',territory_sk) value1
from(
select distinct customer_id,rep_id,product_id,territory_sk,salesforce_id,m.attribute_value1,v.config_value
from(
select distinct hcp_terr.customer_id,hcp_terr.rep_id,territory_sk,salesforce_id, hcp_terr.terr_rep_start_date,sftu.product_id
FROM hcp_rep_terr hcp_terr
inner join
(select  customer_id, product_id, salesforce_code FROM sftu) sftu   
ON UPPER(TRIM(hcp_terr.customer_id)) = UPPER(TRIM(sftu.customer_id)) 
AND UPPER(TRIM(hcp_terr.salesforce_id))=UPPER(TRIM(sftu.salesforce_code))) HTA
inner join
(
select salesforce_code,sleeve_name,business_unit_id,trim(brand_id) as brand_id from
(
select salesforce_id AS salesforce_code,sleeve_name,business_unit_id,
split(brand_id,';') AS brnd_id from team_resp_code
)t1
LATERAL VIEW explode(brnd_id) id AS brand_id
)t2 on UPPER(TRIM(t2.salesforce_code)) = UPPER(TRIM(HTA.SALESFORCE_ID)) AND UPPER(TRIM(t2.brand_id))=UPPER(TRIM(SUBSTR(HTA.PRODUCT_ID,1,9)))
AND HTA.terr_rep_start_date < cast(""PO_START_DATE"" AS date)
inner join m_verso_cnfg v on v.config_type = t2.salesforce_code and v.PARAMETER_TYPE = 'RESP CODE MAPPING'
inner join m_verso_cnfg v2 on v2.config_type = t2.business_unit_id and v2.parameter_type='BU MAPPING'
inner join m_prod_xref m on concat(t2.salesforce_code,'_',t2.brand_id) = m.source_product_name
and source_name='TEAM_RESP_CD')
t3)
t4
except
select distinct concat(customer_id,'_',rep_id,'_',product_id,'_',salesforce_id,'_',territory_sk) as value2 from po_alignment
)t5 where 'current_date' = 'PO_START_DATE'",NA,NA,"BR : PO refreshed alignment data is incorrect||Error resolution tip : Check which customer_id,rep_id,product_id,salesforce_id,territory_sk combination is present in mention code "
36,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select 'PI Model ingested file' as file_name, count(distinct customer_id,resp_code,product_id,indication_id,brand_additional_insight_order) from pi_model_input_file 
union all 
select 'PI Model intermediate file' as file_name, count(distinct customer_id,salesforce_id,product_id,timeliness_score) from pi_model_insights_intermediate
union all 
select 'Pri sugg file' as file_name, count(distinct entities.`values`['customer'].id,salesforce_id,entities.`values`['product'].id,timeliness_score) from pri_sugg where metric_group_type='External'",NA,NA,Not Applicable
37,Post,US_BR,04_ARCHIVAL/date=current_date/BR/PRIORITIZED_SUGGESTIONS/,pri_sugg,|,parquet,guid,Custom_Count_Check,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from
(select * from src
where extract(dayofweek from to_date(sugg_posted_date))<>2)a",NA,NA,"BR : Sugg_posted_date in pri sugg output is date of the week's execution day(Usually Monday if not holiday)||Error resolution tip : Check ""Sugg_posted_date"" column of Pris_sugg_output for unexpected dates, The date usually should be of Monday unless there is a holiday."
38,Post,US_BR,data/context_key=US_CONTEXT/source=rep_alignment/sugg_posted_date=current_date/,rep_alignment,|,parquet,customer_id,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select count(distinct a.customer_id) as Customer_count,count(distinct a.rep_id) as Rep_count,
'HCPs and Reps from Rep_Alignment are not present in SFTU and HCT_TERR tables HCP, Rep.' as COMMENT from (
select customer_id,rep_id from src
group by  customer_id,rep_id,salesforce_id
minus
select  hrt.customer_id,hrt.rep_id from hcp_rep_terr hrt
inner join sftu sf
on sf.customer_id=hrt.customer_id
group by hrt.customer_id,hrt.rep_id, hrt.salesforce_id)a",NA,NA,Not Applicable
