Placeholder_text|Original_Text
LDODT_MNJ_DT_10|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Uncover why HCP reaches for Ozempic after met for a patient with a 7.5-8.5% A1C&lt;br&gt;&lt;li&gt;Share every dose is SUPERIOR to Ozempic 1mg* for A1C reduction, starting at 5mg dose&lt;br&gt;&lt;li&gt;Share the SUPERIOR weight reduction&lt;br&gt;&lt;li&gt;Share the A1C Threshold data (&lt;7%,&lt;=6.5%, &lt;5.7%)&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;A1C &lt;7% and &lt;=6.5% Core VAE&lt;br&gt;&lt;li&gt;A1C/Weight Core VAE&lt;/ul&gt;
LDODT_ZEP_DT_03|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Seek to understand the preferred patient type and brand. If most of the scripts are with a competitor, be prepared to clarify and address any HCP concern regarding Zepbound and expand on Zepbound&#39;s efficacy&lt;br&gt;&lt;li&gt;Reminder, since we do not have head-to-head data, do not compare Zepbound to other products&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;You may consider sending the In Advance/Follow Up VAE with appropriate fragment&lt;/ul&gt;
LDODT_ZEP_DT_05|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Seek to understand the preferred patient type and treatment&lt;br&gt;&lt;li&gt;Be prepared to clarify and address any HCP concern regarding Zepbound and expand on Zepbound&#39;s efficacy&lt;br&gt;&lt;li&gt;Reminder, since we do not have head-to-head data, do not compare Zepbound to other products&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Consider sending a VAE with an efficacy fragment&lt;/ul&gt;
LDODT_ZEP_DT_08|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Lead with the core dialog and leverage formulary sell sheets. Do not lead with formulary coverage information in your call as we seek to address &quot;Connecting B.M.I. to Zepbound&quot; and &quot;Establish the Efficacy&quot; first&lt;br&gt;&lt;li&gt;Keep the &quot;Partner on the Start&quot; message with the HCP high-level and brief. Work with the office staff to communicate the details of top plans&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Consider sending the Favorable Access VAE as a follow up&lt;/ul&gt;
LDODT_ZEP_DT_09|&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Ask about the HCP&#39;s recent experience starting patients on injectable AOMs&lt;br&gt;&lt;li&gt;Be prepared to clarify and address any HCP concern regarding Zepbound and expand on Zepbound&#39;s efficacy and safety&lt;br&gt;&lt;li&gt;Reminder, since we do not have head-to-head data, do not compare Zepbound to other products&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended Resources:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Provide any relevant formulary information and the Prior Authorization Resource Guide&lt;br&gt;&lt;li&gt;You may consider sending a VAE with the &quot;Partner on the Start&quot; or PA guide fragment&lt;/ul&gt;
Ebglyss_AD_01|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Seek to &lt;b&gt;understand the patient type (new therapy or switches)&lt;/b&gt; and alignment with the EBGLYSS target patient&lt;li&gt;Seek to understand &lt;b&gt;patient payer and status of PA&lt;/b&gt;&lt;li&gt;Ensure HCP/KOS &lt;b&gt;awareness of patient support&lt;/b&gt; and consider setting up &lt;b&gt;KOS program&lt;/b&gt;&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Getting Started Resources&lt;li&gt;EBGLYSS Resources&lt;/ul&gt;
Ebglyss_AD_02|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Understand &lt;b&gt;drivers for switching therapy&lt;/b&gt; and considerations for selecting next treatment&lt;br&gt;&lt;li&gt;Seek to understand &lt;b&gt;dosing/delivery preference&lt;/b&gt; and seek to understand &lt;b&gt;HCP beliefs around JAK class&lt;/b&gt;&lt;br&gt;&lt;li&gt;Reinforce EBGLYSS&#39;s differentiators with the &lt;b&gt;SLAM story&lt;/b&gt;&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Target Patient&lt;li&gt;Safety&lt;li&gt;Monotherapy Efficacy&lt;/ul&gt;
Ebglyss_AD_04|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Ensure HCP has &lt;b&gt;awareness that EBGLYSS&lt;/b&gt; is an option for patients with atopic dermatitis&lt;li&gt;Understand any beliefs around different treatment options and &lt;b&gt;reinforce EBGLYSS target patient&lt;/b&gt;&lt;li&gt;Consider setting up a &lt;b&gt;P2P program&lt;/b&gt; with this HCP &lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs&lt;/b&gt;:&lt;br&gt;&lt;ul&gt;&lt;li&gt;Target Patient&lt;li&gt;Now Approved&lt;/ul&gt;
Ebglyss_AD_05|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Seek to understand &lt;b&gt;how samples are being utilized&lt;/b&gt;&lt;li&gt;Check in on how patients are responding to therapy and where they are with the &lt;b&gt;Prior Authorization process.&lt;/b&gt;&lt;li&gt;Communicate &lt;b&gt;getting started resources&lt;/b&gt;&amp; reinforce the access messaging for EBGLYSS&lt;li&gt;Consider setting up a&lt;b&gt; KOS program&lt;/b&gt; with the office&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Getting Started Resources&lt;li&gt;Lebri Resources&lt;li&gt;Monotherapy Efficacy&lt;/ul&gt;
Ebglyss_AD_06|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Provide any additional information around &lt;b&gt;recent formulary upgrade&lt;/b&gt;&lt;li&gt;&lt;b&gt;Set up Alex, discuss core message elements&lt;/b&gt; and formulary upgrade&lt;li&gt;Seek to understand how important formulary coverage is in &lt;b&gt;making treatment decisions&lt;/b&gt;. Engage with both HCP and KOS.&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Target Patient (PP-LK-US-0008)&lt;li&gt;Monotherapy Efficacy (PP-LK-US-0327)&lt;/ul&gt;
Olumiant_AA_01|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Seek to understand how they &lt;b&gt;assess the severity&lt;/b&gt; of patients and &lt;b&gt;where Olumiant fits&lt;/b&gt; in the treatment algorithm&lt;br&gt;&lt;li&gt;Using &lt;b&gt;GROW&lt;/b&gt;, Consider the &lt;b&gt;Patient Profile&lt;/b&gt; or the &lt;b&gt;Subgroup Analysis&lt;/b&gt; in the IVA (PP-BA-US-2259) to support patient identification&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs&lt;/b&gt;:&lt;br&gt;&lt;ul&gt;&lt;li&gt;Target Patient (PP-BA-US-1646)&lt;li&gt;Meaningful Efficacy (PP-BA-US-1679)&lt;/ul&gt;
Olumiant_AA_02|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt; &lt;ul&gt; &lt;li&gt;Seek to understand how often they see adults with severe alopecia areata &amp; how they &lt;b&gt;assess the severity&lt;/b&gt;&lt;li&gt;Consider educating the clinician on severity assessment tools, such as AASc&lt;/li&gt; &lt;li&gt;Using &lt;b&gt;GROW&lt;/b&gt;, Consider the Patient Profile in the IVA to support patient identification &lt;/ul&gt; &lt;br&gt; &lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;br&gt; &lt;ul&gt; &lt;li&gt;Relevant Thought Leader Video (Efficacy or Safety) &lt;li&gt;Target Patient &lt;/ul&gt;
Olumiant_AA_03|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Seek to understand the &lt;b&gt;key drivers&lt;/b&gt; to prescribing a JAKi for adults with severe AA, including &lt;b&gt;perceptions&lt;/b&gt; of Litfulo and Olumiant&lt;li&gt;&lt;b&gt;Address&lt;/b&gt; the belief &amp; &lt;b&gt;expand the value gap&lt;/b&gt; by sharing the relevant &lt;b&gt;differentiation attributes&lt;/b&gt; of Olumiant through &lt;b&gt;GROW&lt;/b&gt; dialogue:&lt;br&gt; &lt;ul&gt; &lt;li&gt;- Meaningful hair regrowth across 3 areas of hair loss&lt;/li&gt; &lt;li&gt;- Established Safety Profile - 3 years&lt;/li&gt; &lt;li&gt;- Flexible Once daily dosing&lt;/li&gt; &lt;li&gt;- Best in Class commercial access&lt;/li&gt;&lt;/ul&gt;&lt;/ul&gt; &lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;br&gt; &lt;ul&gt;&lt;li&gt;Target Patient (PP-BA-US-1646)&lt;li&gt;Meaningful Efficacy (PP-BA-US-1679)&lt;li&gt;Eyebrow &amp; Eyelash Efficacy (PP-BA-US-1682)&lt;li&gt;Sustained response Rates (PP-BA-US-2115)&lt;/ul&gt;
Olumiant_AA_04|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt; &lt;ul&gt; &lt;li&gt;Uncover the &lt;b&gt;beliefs that are driving the Olumiant&lt;/b&gt; NBRx &lt;li&gt;Provide &lt;b&gt;support and resources&lt;/b&gt; to enable a positive &lt;b&gt;START&lt;/b&gt;, including treatment expectations for onset of improvement &lt;li&gt;Future Interactions - consider sharing long term &lt;b&gt;maintenance, dose titration &amp; withdrawal data&lt;/b&gt; to enable &lt;b&gt;STAY&lt;/b&gt; through patient management &lt;/ul&gt; &lt;br&gt;&lt;b&gt;Recommended VAE:&lt;/b&gt;&lt;br&gt; &lt;ul&gt; &lt;li&gt;Getting Patients Started (PP-BA-US-1683) &lt;li&gt;Meaningful Efficacy (PP-BA-US-1679) &lt;li&gt;Dose Titration (PP-BA-US-2113) &lt;/ul&gt;
Olumiant_AA_05|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt; &lt;ul&gt; &lt;li&gt;Seek to understand the HCP &amp; KOS perspective on accessing Olumiant &lt;li&gt;Consider sharing &lt;b&gt;&quot;Best in class commercial access&quot;&lt;/b&gt; messaging by using &lt;b&gt;Formulary IVA (PP-BA-US-2231)&lt;/b&gt; &lt;/ul&gt;&lt;br&gt; &lt;b&gt;Recommended VAE:&lt;/b&gt;&lt;br&gt; &lt;ul&gt; &lt;li&gt;Getting Patients Started (PP-BA-US-1683) &lt;li&gt;Commercial Access (PP-BA-US-2120) &lt;/ul&gt;
Taltz_PsA_06|&lt;br&gt;&lt;br&gt;Utilize the dual target patient setup to convey Daniel&#39;s need for rapid and sustained relief.&lt;br&gt;&lt;br&gt;If you have not done so previously, dialogue about how Taltz provides rapid and sustained efficacy across the joints, skin and spine that Daniel needs.&lt;br&gt;&lt;br&gt;Confirm that when the HCP sees a patient with AS who needs a medication that offers rapid and sustained efficacy that they will choose Taltz.&lt;br&gt;&lt;br&gt;Send the Rapid and Sustained Joint AS Efficacy VAE (free text or other), the Favorable Access VAE or the MOA VAE if applicable.
Taltz_PsA_08|&lt;br&gt;&lt;br&gt;Utilize the dual target patient setup to convey Michelle&#39;s need for rapid and sustained relief.&lt;br&gt;&lt;br&gt;If you have not done so previously, dialogue about how Taltz provides rapid and sustained efficacy across the joints, skin and spine that Michelle needs.&lt;br&gt;&lt;br&gt;Confirm that when the HCP sees a patient with PsA who needs a medication that offers rapid and sustained efficacy that they will choose Taltz.&lt;br&gt;&lt;br&gt;Send the Rapid and Sustained Joint and Skin PsA Efficacy VAE (free text or other), the Favorable Access VAE or the MOA VAE if applicable.
Taltz_PsA_09|&lt;br&gt;&lt;br&gt;Utilize the dual target patient setup to convey Daniel&#39;s need for rapid and sustained relief.&lt;br&gt;&lt;br&gt;If you have not done so previously, dialogue about how Taltz provides rapid and sustained efficacy across the joints, skin and spine that Daniel needs.&lt;br&gt;&lt;br&gt;Confirm that when the HCP sees a patient with AS who needs a medication that offers rapid and sustained efficacy that they will choose Taltz.&lt;br&gt;&lt;br&gt;Send the Rapid and Sustained Joint AS Efficacy VAE (free text or other), the Favorable Access VAE or the MOA VAE if applicable.
Taltz_PsA_10|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Ensure HCP is aware of the Zepbound Savings for Taltz Patients program&lt;li&gt;Reinforce that the eligibility criteria must be met, which means that only patients with commercial coverage, which covers Taltz, are eligible for the program and governmental beneficiaries are excluded (in addition to all other requirements).&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Zepbound Savings for Taltz Patients&lt;/ul&gt;
Taltz_PsO_01|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Seek to understand when the HCP is choosing Cosentyx and Taltz and for which patients &lt;li&gt;Use the &lt;b&gt;MOA IVA&lt;/b&gt; to show differences in the IL-17 class, followed by &lt;b&gt;rapid and durable data&lt;/b&gt; and the &lt;b&gt;real-world study&lt;/b&gt;&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Free Text with Challenging Body Areas attachment &lt;li&gt;Favorable Access&lt;/ul&gt;
Taltz_PsO_02|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Remind HCP that &lt;b&gt;Taltz is #1 prescribed IL-17&lt;/b&gt; in Derm and has the &lt;b&gt;best access&lt;/b&gt; in the iL-17 class in Dermatology&lt;li&gt;Use the &lt;b&gt;Formulary IVA&lt;/b&gt; to show the HCP their local access for Taltz&lt;li&gt;Set up &lt;b&gt;Taylor&lt;/b&gt; and build on recent engagements&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Favorable Access&lt;li&gt;H2H Efficacy with Humira attachment&lt;/ul&gt;
Taltz_PsO_03_A|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Seek to understand when the HCP is choosing Cosentyx, Bimzelx, and Taltz and for which patients &lt;li&gt;Use the &lt;b&gt;MOA IVA&lt;/b&gt; to show differences in the IL-17 class, followed by &lt;b&gt;rapid and durable data&lt;/b&gt; and the &lt;b&gt;real world study&lt;/b&gt;&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Free Text with Challenging Body Areas attachment&lt;li&gt;Favorable Access&lt;/ul&gt;
Taltz_PsO_03_B|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Discover what is causing the HCP to&lt;b&gt; write more Cosentyx&lt;/b&gt;&lt;li&gt;Consider using the &lt;b&gt;MOA IVA or Formulary IVA&lt;/b&gt;&lt;li&gt;Remind the HCP that Taltz is &lt;b&gt;#1 prescribed IL-17&lt;/b&gt; in Derm and has the &lt;b&gt;best access&lt;/b&gt; in the IL-17 class in Dermatology&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;br&gt;&lt;ul&gt;&lt;li&gt;Scalp and Nail&lt;li&gt;Efficacy H2H with the Humira attachment&lt;/ul&gt;
Taltz_PsO_03_C|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Discover&lt;b&gt; how the HCP is making treatment decisions&lt;/b&gt;&lt;li&gt;Ensure HCP understands who the right patient is for Taltz and the need for&lt;b&gt; rapid relief today and durable results tomorrow&lt;/b&gt;&lt;li&gt;Reinforce mean percent improvement data at week 2 and year 5 and then &lt;b&gt;differentiate from Tremfya on skin efficacy&lt;/b&gt; using the H2H trial data and real world data&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Patient Profile (and Challenging Body Areas)&lt;li&gt;Efficacy H2H with the Tremfya attachment&lt;/ul&gt;
Taltz_PsO_03_D|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Uncover &lt;b&gt;why the HCP is writing more Stelara&lt;/b&gt;&lt;li&gt;Setup Taylor and establish his&lt;b&gt; need for rapid and durable efficacy &lt;/b&gt;because everyday moments matter.&lt;li&gt;Reinforce &lt;b&gt;mean percent improvement data&lt;/b&gt; at week 2 and year 5 and address trade-offs associated with more frequent dosing.&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Efficacy H2H with the Stelara attachment&lt;li&gt;Efficacy with Rapid Durable attachment&lt;/ul&gt;
Taltz_PsO_03_E|&lt;br&gt;&lt;br&gt;&lt;b&gt;Recommended Discussion Topics:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Discover what is the most&lt;b&gt; motivating factor for choosing Skyrizi&lt;/b&gt;&lt;li&gt;If &lt;b&gt;dosing frequency&lt;/b&gt; is a factor, ask the HCP how they are presenting options to the patient&lt;li&gt;Reinforce &lt;b&gt;mean percent improvement data&lt;/b&gt; at week 2 and year 5, address trade-offs associated with more frequent dosing, and share the real world data.&lt;/ul&gt;&lt;br&gt;&lt;b&gt;Recommended VAEs:&lt;/b&gt;&lt;ul&gt;&lt;li&gt;Scalp and Nail&lt;li&gt;Free Text with Challenging Body Areas or Structure attachment&lt;/ul&gt;
