QC_ID,Step_Execution,LOC,File_Dir,File_Name,Delimiter,File_Format,Column_Name,Check_Type,Frequency,Status,Lower_Threshold,Upper_Threshold,Criticality_Flag,Parameter1,Parameter2,Write_Mode,File_Append_Location,Exception_Statement,ES
22,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select min(from_unixtime(unix_timestamp(cadence,'MM/dd/yyyy'),'yyyy-MM-dd') ),
max(from_unixtime(unix_timestamp(cadence,'MM/dd/yyyy'),'yyyy-MM-dd')) from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml where rationale=""AI_DRIVEN""",,,Not Applicable,SIT: Validate 4C Output Recommendation Period (OMNICHANN-2406)
23,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,"channel,content",Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel,content from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml
where rationale = 'AI_DRIVEN'",,,Not Applicable,SIT: Validate that invalid combinations have been applied for channel-content combinations (OMNICHANN-2412)
24,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,customer_id,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select count(*) from src
union all
select count(*) from hcp_universe
where kaiser_opt_flg = 'NO'
and (npp_target = 'YES' or pp_target = 'YES')",,,Not Applicable,SIT: Validate there is atleast 1 recommendation for each HCP in 180 days (OMNICHANN-2408)
25,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/nba_out/job_id=dynamic_JOB_ID/,nba_out,",",parquet,channel,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel, rationale from( select customer_id,cadence, channel, contenttype.id,content, rationale.key as rationale from src) derm_4c where rationale<>'AI_DRIVEN'",,,Not Applicable,SIT: Validate fixed events are present in ml output
26,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/interaction_history/,interaction_history,",",parquet,channel_id,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel_id, content_type_id from src",,,Not Applicable,SIT: Validate Content categories mapped in interaction history (OMNICHANN-2420)
27,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/interaction_history/,interaction_history,",",parquet,channel_id,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select distinct channel_id,tactic_id,content_id,content_type_id,message_type from
(select distinct channel_id,content_type_id,content_id from src) interaction_history 
left join soa on soa.tactic_id = content_id
where channel_id in ('HQ_EMAIL','DOXIMITY_ALERT','MEDSCAPE_EMAIL','MEDSCAPE_ALERT','EPOCRATES_ALERT','MEDSCAPE_POC','DOXIMITY_DOCSPOT')",,,Not Applicable,SIT:Validate content id mapped in interaction history (OMNICHANN-2421/ OMNICHANN-2422)
28,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/interaction_history/,interaction_history,",",parquet,exposed_on,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select exposed_on, engaged_on, acted_on,loaded_on from src where exposed_on is null",,,Not Applicable,SIT: Validate exposed on date in interaction history (OMNICHANN-2416)
29,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/interaction_history/,interaction_history,",",parquet,exposed_on,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select min(from_unixtime(unix_timestamp(exposed_on,'MM-dd-yyyy HH:mm:ss'),'yyyy-MM-dd')), max(from_unixtime(unix_timestamp(exposed_on,'MM-dd-yyyy HH:mm:ss'),'yyyy-MM-dd')) from src where product_id = ""US_304528""",,,Not Applicable,SIT:Validate interaction history is not more than 182 days (OMNICHANN-2419)
30,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/interaction_history/,interaction_history,",",parquet,customer_id,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select 'int_hist',count(distinct customer_id) from src
union all
select 'hcp_unv',count(*) from hcp_universe
union all
select 'hcp_unv distinct',count(distinct customer_id) from hcp_universe
union all
select 'target',count(DISTINCT LILLY_PERSON_ID) from ldg_derm_tgt where indication_id='DS150'
union all
select 'demog distinct',count(distinct customer_id) from demog
union all
select 'demog',count(*) from demog",,,Not Applicable,SIT:Validate unique count of HCP ( Lilly person ID) in target table are matching with source target lists (OMNICHANN-2392)
31,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,mlr_approved_flag,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where mlr_approved_flg = 0) hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - MLR Approval (OMNICHANN-2440)
32,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,incentivised,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where incentivised_flg = 0) hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT:HCP LEVEL Constarints - Incentivised (OMNICHANN-2441)
33,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,brnd_email,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where brnd_email_opt_flg = 'YES') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - CORP_EMAIL (OMNICHANN-2443)
34,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,corp_email_opt,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where corp_email_opt_flg = 'YES') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - BRND EMAIL (OMNICHANN-2442)
35,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,colorado,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where colorado_opt_flg = 'YES') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - COLORADO (OMNICHANN-2446)
36,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,vermont,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where vermont_opt_flg = 'YES') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - VERMONT (OMNICHANN-2447)
37,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,npp_target,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where npp_target = 'NO') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - NPP Target (OMNICHANN-2444)
38,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,pp_target,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where pp_target = 'NO') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT:HCP LEVEL Constarints - PP Target (OMNICHANN-2445)
39,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,medscape_match,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where medscape_match = 'NO') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - Medscape match (OMNICHANN-3904)
40,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/context_key=DEFAULT_CONTEXT/entity=hcp_master/,hcp_universe,",",parquet,epocrates_match,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed, count(*) from 
(select * from src  where epocrates_match = 'NO') hcp_universe
left join hcp_level_constraints hcp_level_constraints on hcp_level_constraints.customer_id = hcp_universe.customer_id
group by channel,hcp_level_constraints.min_allowed,hcp_level_constraints.max_allowed",,,Not Applicable,SIT: HCP LEVEL Constarints - Epocrates match (OMNICHANN-3905)
41,Post,NBA_DERM,s3://aws-a0188-use1-00-p-s3b-data-lake-lilly-0071a-pdb03/data/NBA_DERM/data/ML_OUTPUT/job_id=dynamic_JOB_ID/,ml_output,",",parquet,min_allowed,Custom_Query,Daily,Active,NA,NA,NA,prerequisite condition,"select segment, channel, min(touchpoint) as min_t,max(touchpoint) as max_t from (
select ml.customer_id,segment,channel, count(*) as touchpoint from (select customer_id,ml.`date` as cadence, ml.dimension1 as channel, ml.dimension2 as content,ml.rationale, ml.source from src lateral view explode(mloutput.recommendation) m as ml) ml
left join hcp_universe on hcp_universe.customer_id = ml.customer_id where channel<>'P2P' and ml.rationale = 'AI_DRIVEN'
group by ml.customer_id,segment,channel) A group by segment, channel",,,Not Applicable,SIT: Validate max touchpoint constraint is not violated (OMNICHANN-2409)
